# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\FPGA\counter\led.csv
# Generated on: Wed Mar 18 23:03:59 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,PIN_24,2,B2_N0,PIN_24,2.5 V,,,,,
DS_A,Output,PIN_143,8,B8_N0,PIN_143,2.5 V,,,,,
DS_B,Output,PIN_144,8,B8_N0,PIN_144,2.5 V,,,,,
DS_C,Output,PIN_1,1,B1_N0,PIN_1,2.5 V,,,,,
DS_D,Output,PIN_141,8,B8_N0,PIN_141,2.5 V,,,,,
DS_E,Output,PIN_142,8,B8_N0,PIN_142,2.5 V,,,,,
DS_EN1,Output,PIN_133,8,B8_N0,PIN_133,2.5 V,,,,,
DS_EN2,Output,PIN_136,8,B8_N0,PIN_136,2.5 V,,,,,
DS_EN3,Output,PIN_135,8,B8_N0,PIN_135,2.5 V,,,,,
DS_EN4,Output,PIN_137,8,B8_N0,PIN_137,2.5 V,,,,,
DS_F,Output,PIN_138,8,B8_N0,PIN_138,2.5 V,,,,,
DS_G,Output,PIN_2,1,B1_N0,PIN_2,2.5 V,,,,,
H_SYNC,Output,PIN_100,6,B6_N0,PIN_100,2.5 V,,,,,
V_B[4],Unknown,PIN_110,7,B7_N0,,,,,,,
V_G[0],Unknown,PIN_111,7,B7_N0,,,,,,,
V_G[1],Unknown,PIN_112,7,B7_N0,,,,,,,
V_G[2],Unknown,PIN_113,7,B7_N0,,,,,,,
V_G[3],Unknown,PIN_114,7,B7_N0,,,,,,,
V_G[4],Unknown,PIN_115,7,B7_N0,,,,,,,
V_G[5],Unknown,PIN_119,7,B7_N0,,,,,,,
V_R[0],Unknown,PIN_120,7,B7_N0,,,,,,,
V_R[1],Unknown,PIN_121,7,B7_N0,,,,,,,
V_R[2],Unknown,PIN_124,7,B7_N0,,,,,,,
V_R[3],Unknown,PIN_125,7,B7_N0,,,,,,,
V_R[4],Unknown,PIN_126,7,B7_N0,,,,,,,
ADCLK,Unknown,PIN_127,7,B7_N0,,,,,,,
F_TDI,Unknown,PIN_15,1,B1_N0,,,,,,,
F_TDO,Unknown,PIN_20,1,B1_N0,,,,,,,
F_TCK,Unknown,PIN_16,1,B1_N0,,,,,,,
F_TMS,Unknown,PIN_18,1,B1_N0,,,,,,,
EP_DCLK,Unknown,PIN_12,1,B1_N0,,,,,,,
SDRAM_BA0,Unknown,PIN_73,5,B5_N0,,,,,,,
SDRAM_CS_N,Unknown,PIN_74,5,B5_N0,,,,,,,
SDRAM_BA1,Unknown,PIN_75,5,B5_N0,,,,,,,
SDRAM_A10,Unknown,PIN_76,5,B5_N0,,,,,,,
SDRAM_A0,Unknown,PIN_77,5,B5_N0,,,,,,,
SDRAM_A1,Unknown,PIN_80,5,B5_N0,,,,,,,
SDRAM_A2,Unknown,PIN_83,5,B5_N0,,,,,,,
SDRAM_A3,Unknown,PIN_84,5,B5_N0,,,,,,,
BP1,Unknown,PIN_85,5,B5_N0,,,,,,,
RXD,Unknown,PIN_86,5,B5_N0,,,,,,,
TXD,Unknown,PIN_87,5,B5_N0,,,,,,,
ADDAT,Unknown,PIN_128,8,B8_N0,,,,,,,
ADCSN,Unknown,PIN_129,8,B8_N0,,,,,,,
IRDA,Unknown,PIN_132,8,B8_N0,,,,,,,
SDRAM_DQ6,Unknown,PIN_38,3,B3_N0,,,,,,,
SDRAM_DQ7,Unknown,PIN_39,3,B3_N0,,,,,,,
SDRAM_DQML,Unknown,PIN_42,3,B3_N0,,,,,,,
SDRAM_WE_N,Unknown,PIN_43,3,B3_N0,,,,,,,
SDRAM_CAS_N,Unknown,PIN_44,3,B3_N0,,,,,,,
SDRAM_RAS_N,Unknown,PIN_46,3,B3_N0,,,,,,,
SDRAM_DQ15,Unknown,PIN_49,3,B3_N0,,,,,,,
SDRAM_DQ14,Unknown,PIN_50,3,B3_N0,,,,,,,
SDRAM_DQ13,Unknown,PIN_51,3,B3_N0,,,,,,,
SDRAM_DQ12,Unknown,PIN_52,3,B3_N0,,,,,,,
SDRAM_DQ11,Unknown,PIN_53,3,B3_N0,,,,,,,
PS2_DAT,Unknown,PIN_98,6,B6_N0,,,,,,,
PS2_CLK,Unknown,PIN_99,6,B6_N0,,,,,,,
V_SYNC,Unknown,PIN_101,6,B6_N0,,,,,,,
V_B[0],Unknown,PIN_103,6,B6_N0,,,,,,,
V_B[1],Unknown,PIN_104,6,B6_N0,,,,,,,
V_B[2],Unknown,PIN_105,6,B6_N0,,,,,,,
V_B[3],Unknown,PIN_106,6,B6_N0,,,,,,,
SDRAM_DQ1,Unknown,PIN_28,2,B2_N0,,,,,,,
SDRAM_DQ0,Unknown,PIN_30,2,B2_N0,,,,,,,
SDRAM_DQ3,Unknown,PIN_31,2,B2_N0,,,,,,,
SDRAM_DQ2,Unknown,PIN_32,2,B2_N0,,,,,,,
SDRAM_DQ4,Unknown,PIN_33,2,B2_N0,,,,,,,
SDRAM_DQ5,Unknown,PIN_34,2,B2_N0,,,,,,,
DS_DP,Unknown,PIN_3,1,B1_N0,,,,,,,
EPCS_ASDI,Unknown,PIN_6,1,B1_N0,,,,,,,
FLASH_DI,Unknown,PIN_7,1,B1_N0,,,,,,,
EPCS_NCS,Unknown,PIN_8,1,B1_N0,,,,,,,
FLASH_CLK,Unknown,PIN_10,1,B1_N0,,,,,,,
FLASH_CS,Unknown,PIN_11,1,B1_N0,,,,,,,
EPCS_DATA,Unknown,PIN_13,1,B1_N0,,,,,,,
FLASH_DO,Unknown,PIN_23,1,B1_N0,,,,,,,
KEY2,Unknown,PIN_91,6,B6_N0,,,,,,,
KEY1,Unknown,PIN_90,6,B6_N0,,,,,,,
KEY4,Unknown,PIN_89,5,B5_N0,,,,,,,
KEY3,Unknown,PIN_88,5,B5_N0,,,,,,,
SDRAM_DQ10,Unknown,PIN_54,4,B4_N0,,,,,,,
SDRAM_DQ9,Unknown,PIN_55,4,B4_N0,,,,,,,
SDRAM_DQ8,Unknown,PIN_58,4,B4_N0,,,,,,,
SDRAM_DQMH,Unknown,PIN_59,4,B4_N0,,,,,,,
SDRAM_CLK,Unknown,PIN_60,4,B4_N0,,,,,,,
SDRAM_CKE,Unknown,PIN_64,4,B4_N0,,,,,,,
SDRAM_A12,Unknown,PIN_65,4,B4_N0,,,,,,,
SDRAM_A11,Unknown,PIN_66,4,B4_N0,,,,,,,
SDRAM_A9,Unknown,PIN_67,4,B4_N0,,,,,,,
SDRAM_A8,Unknown,PIN_68,4,B4_N0,,,,,,,
SDRAM_A7,Unknown,PIN_69,4,B4_N0,,,,,,,
SDRAM_A6,Unknown,PIN_70,4,B4_N0,,,,,,,
SDRAM_A5,Unknown,PIN_71,4,B4_N0,,,,,,,
SDRAM_A4,Unknown,PIN_72,4,B4_N0,,,,,,,
